Trial_number,Pair_type,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,mask_name,first_pass_loop.thisRepN,first_pass_loop.thisTrialN,first_pass_loop.thisN,first_pass_loop.thisIndex,mask_loop.thisRepN,mask_loop.thisTrialN,mask_loop.thisN,mask_loop.thisIndex,mask_loop_2.thisRepN,mask_loop_2.thisTrialN,mask_loop_2.thisN,mask_loop_2.thisIndex,double_pass_loop.thisRepN,double_pass_loop.thisTrialN,double_pass_loop.thisN,double_pass_loop.thisIndex,mask_loop_3.thisRepN,mask_loop_3.thisTrialN,mask_loop_3.thisN,mask_loop_3.thisIndex,mask_loop_4.thisRepN,mask_loop_4.thisTrialN,mask_loop_4.thisN,mask_loop_4.thisIndex,mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,first_patch.started,first_patch.stopped,second_patch.started,second_patch.stopped,mouse.started,text_23.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,similarity,response_time,Pass,mouse_11.started,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
1,1,131,5,5,1986,1,absent_patch/patch0001986.jpg,present_patch/cong_131_5_a.jpg,masks/mask_001.jpg,0,2,2,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
1,1,131,5,5,1986,1,absent_patch/patch0001986.jpg,present_patch/cong_131_5_a.jpg,masks/mask_005.jpg,0,2,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
1,1,131,5,5,1986,1,absent_patch/patch0001986.jpg,present_patch/cong_131_5_a.jpg,masks/mask_003.jpg,0,2,2,0,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,18.10065910000003,18.304580500000156,,,,,,,,,,,,,,,,,,,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
1,1,131,5,5,1986,1,absent_patch/patch0001986.jpg,present_patch/cong_131_5_a.jpg,masks/mask_002.jpg,0,2,2,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
1,1,131,5,5,1986,1,absent_patch/patch0001986.jpg,present_patch/cong_131_5_a.jpg,masks/mask_001.jpg,0,2,2,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
1,1,131,5,5,1986,1,absent_patch/patch0001986.jpg,present_patch/cong_131_5_a.jpg,masks/mask_004.jpg,0,2,2,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
1,1,131,5,5,1986,1,absent_patch/patch0001986.jpg,present_patch/cong_131_5_a.jpg,masks/mask_005.jpg,0,2,2,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
1,1,131,5,5,1986,1,absent_patch/patch0001986.jpg,present_patch/cong_131_5_a.jpg,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0061190999999780615,18.60775169999988,-0.15555555555555556,-0.04351851851851852,1,0,0,response5disk,2,1.396372899999733,1,1.6599999980826396e-05,-0.004629629629629629,0.008333333333333333,1,0,0,center_square_2,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
6,0,131,5,5,1974,2238,absent_patch/patch0001974.jpg,absent_patch/patch0002238.jpg,masks/mask_003.jpg,0,3,3,5,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,22.73953470000015,22.94832260000021,,,,,,,,,,,,,,,,,,,,,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
6,0,131,5,5,1974,2238,absent_patch/patch0001974.jpg,absent_patch/patch0002238.jpg,masks/mask_005.jpg,0,3,3,5,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667511,001,2022-11-03_11h39.14.505,Info_measure_main_exp,2022.2.2,145.28126452827547,
